Data;Classificacao;Descricao;Meio;Valor
17/02/2018;2.9 Marketing;marketing face;DINHEIRO;36,8
18/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;10,15
21/02/2018;2.2.2 Pao;paes;DINHEIRO;8
22/02/2018;2.2.2 Pao;paes;DINHEIRO;8
22/02/2018;2.4.1 Combustível;gazolina;DINHEIRO;15
22/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;36,41
22/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;28,8
22/02/2018;2.2.8 Bebidas;chopp;DINHEIRO;140
22/02/2018;2.2.6 Laticínios;mussarela;DINHEIRO;10,45
23/02/2018;2.2.8 Bebidas;coca;DINHEIRO;19,09
24/02/2018;2.7 Corujao;corujao bebidas;DINHEIRO;56,88
24/02/2018;2.7 Corujao;corujao gazolina;DINHEIRO;20
24/02/2018;2.7 Corujao;corujao salgados;DINHEIRO;65,29
24/02/2018;2.7 Corujao;corujao pizza;DINHEIRO;90
01/03/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;119,7
01/03/2018;2.4.1 Combustível;GAZOLINA;DINHEIRO;15
01/03/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;31,03
01/03/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;97,5
01/03/2018;2.3.4 Outros Descartaveis;PANO E MATERIAL DE LIMPEZA;DINHEIRO;25,3
02/03/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;67,04
02/03/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;46,62
02/03/2018;2.2.2 Pao;PaES;DINHEIRO;16
02/03/2018;2.2.1 Carne;CARNE;DINHEIRO;41,71
02/03/2018;2.8.1 Ambiente e Manutencao;ESTENcoES;DINHEIRO;27,8
02/03/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;58,43
02/03/2018;2.8.1 Ambiente e Manutencao;SUPORTE TV;DINHEIRO;21,9
02/03/2018;2.2.2 Pao;PaES;DINHEIRO;20,9O
02/03/2018;2.2.6 Laticínios;MUSSARELA;DINHEIRO;12,14
01/03/2018;2.2.1 Carne;CARNE;DINHEIRO;42
01/03/2018;2.2.2 Pao;PaES;DINHEIRO;16
02/03/2018;2.8.1 Ambiente e Manutencao;MESAS;DINHEIRO;290
01/03/2018;2.2.8 Bebidas;chopp;DINHEIRO;90
07/03/2018;2.2.8 Bebidas;chopp;DINHEIRO;90
04/03/2018;2.2.8 Bebidas;reposicao;DINHEIRO;106,5
04/03/2018;2.2 Reposicao Estoque;reposicao;DINHEIRO;50,55
08/03/2018;2.2 Reposicao Estoque;reposicao;DINHEIRO;30,35
08/03/2018;2.2.8 Bebidas;REPOSIcaO;DINHEIRO;56,28
07/03/2018;2.2 Reposicao Estoque;REPOSIcaO;DINHEIRO;93,14
07/03/2018;2.8.1 Ambiente e Manutencao;LAMPADA;DINHEIRO;7,9
07/03/2018;2.3.4 Outros Descartaveis;FILTRO DE PAPEL;DINHEIRO;1,89
08/03/2018;2.2.6 Laticínios;PaO E MUSSARELA;DINHEIRO;14,46
09/03/2018;2.2 Reposicao Estoque;REPOSIcaO;DINHEIRO;47,7
08/03/2018;2.2.1 Carne;CARNE;DINHEIRO;38,42
10/03/2018;2.2.2 Pao;PaES;DINHEIRO;12
10/03/2018;2.2.5 Hortifrut;batata;DINHEIRO;21
10/03/2018;2.2.8 Bebidas;COCA;DINHEIRO;37,2
11/03/2018;2.2.8 Bebidas;REPOSIcaO;DINHEIRO;51,96
11/03/2018;2.2 Reposicao Estoque;REPOSIcaO;DINHEIRO;42,75
10/03/2018;2.7 Corujao;CORUJaO BEBIDAS;DINHEIRO;15,96
10/03/2018;2.7 Corujao;CORUJaO SALGADOS E PIZZA;DINHEIRO;110
09/03/2018;2.6.3 Despesas em geral;EVENTO ALGUEL ARCO;DINHEIRO;70
10/03/2018;2.6.3 Despesas em geral;EVENTO ALIMENTAcaO RODRIGO;DINHEIRO;24,23
01/03/2018;2.5 Compra de Jogos;JOgos iniciais 5/12;DINHEIRO;171,13
28/03/2018;2.8.2 Tarifas Bancarias;Taxa de Cartao;DINHEIRO;64,62
13/03/2018;2.8.1 Ambiente e Manutencao;ventilador e utencilios;DINHEIRO;282,92
14/03/2018;2.2.1 Carne;carnes;DINHEIRO;41
14/03/2018;2.2.8 Bebidas;chopp;DINHEIRO;100
15/03/2018;2.8 agua, Luz e Aluguel;sabesp;DINHEIRO;43,52
14/03/2018;2.2.2 Pao;PaES;DINHEIRO;8
15/03/2018;2.2.2 Pao;PaES;DINHEIRO;12
15/03/2018;2.2.8 Bebidas;REPOSIcaO;DINHEIRO;56,28
15/03/2018;2.2 Reposicao Estoque;REPOSIcaO;DINHEIRO;35,54
16/03/2018;2.6.3 Despesas em geral;ALIMENTAcaO RODRIGO;DINHEIRO;4,49
17/03/2018;2.6.3 Despesas em geral;ALIMENTAcaO RODRIGO;DINHEIRO;6,97
17/03/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;85,98
17/03/2018;2.2.8 Bebidas;REPO;DINHEIRO;67,76
17/03/2018;2.2.1 Carne;CARNE;DINHEIRO;42
21/03/2018;2.2.8 Bebidas;REPO;DINHEIRO;54,96
21/03/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;54,87
22/03/2018;2.2.8 Bebidas;REPO;DINHEIRO;32,88
22/03/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;29,7
21/03/2018;2.2.2 Pao;PaES;DINHEIRO;15
22/03/2018;2.2.2 Pao;PaES;DINHEIRO;15
